industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Other info service activities,"Information, communication & technology",Australia,New South Wales,Service, 10-49,2022,1.0,87.4,21.7,4.6,10.5,17.3,29.3,2.9,0.0,0.8,0.0,0.0,2.0
Other info service activities,"Information, communication & technology",Australia,New South Wales,Service, 10-49,2019,2.0,81.0,20.3,4.0,13.6,9.6,24.8,2.6,0.0,0.0,0.0,5.8,4.8
Other info service activities,"Information, communication & technology",Australia,New South Wales,Service, 10-49,2016,3.0,82.6,23.7,1.2,13.0,10.3,30.9,1.2,0.0,0.0,0.0,2.3,2.9
Food products,Manufactured Goods,United States,Oregon,Manufacturing, 50-249,2020,1.0,92.3,20.2,4.3,29.4,14.9,21.2,1.8,0.0,0.0,0.0,0.2,4.8
Food products,Manufactured Goods,United States,Oregon,Manufacturing, 50-249,2017,2.0,100.8,26.3,0.0,30.8,17.8,25.7,0.0,0.0,0.0,0.0,0.0,2.9
Food products,Manufactured Goods,United States,Oregon,Manufacturing, 50-249,2016,3.0,88.3,24.4,0.0,31.9,9.9,21.1,0.0,0.0,0.0,0.0,1.0,2.9
Food products,Wholesale,France,Île-de-France,Wholesale/Retail, 50-249,2022,1.0,99.2,18.0,4.2,33.3,16.5,21.1,0.3,0.0,0.0,0.0,5.6,7.4
Employment placement & HR,Administrative & support services,Brazil,São Paulo,Service, 10-49,2024,1.0,101.3,21.0,10.7,8.6,15.3,32.5,2.4,0.0,0.1,0.0,10.4,0.5
Employment placement & HR,Administrative & support services,Brazil,São Paulo,Service, 10-49,2021,2.0,89.1,14.4,11.3,9.5,14.1,27.7,2.1,0.0,0.4,0.0,9.2,1.5
Employment placement & HR,Administrative & support services,Brazil,São Paulo,Service, 1-9,2017,3.0,89.5,19.6,8.8,6.6,11.5,40.2,0.9,0.0,1.9,0.0,0.0,2.9
Other business support,Administrative & support services,United Kingdom,United Kingdom,Service, 1-9,2022,1.0,89.4,16.1,2.7,9.9,19.3,34.4,2.9,0.0,0.8,0.0,2.9,1.7
Beverages,Wholesale,Canada,Alberta,Wholesale/Retail, 1-9,2024,1.0,106.7,48.0,2.0,10.6,14.9,22.5,3.3,0.0,4.3,0.0,0.8,1.0
Beverages,Wholesale,Canada,Alberta,Wholesale/Retail, 1-9,2020,2.0,101.9,45.6,2.0,10.4,14.9,20.9,3.1,0.0,4.0,0.0,0.7,1.5
Beverages,Wholesale,Canada,Alberta,Wholesale/Retail, 1-9,2018,3.0,110.4,61.9,0.0,12.1,6.7,23.8,1.0,0.0,0.0,0.0,4.9,2.9
Other personal services,Other services,Netherlands The,North Holland,Service, 10-49,2024,1.0,81.8,20.3,3.5,8.9,17.6,27.7,0.0,0.0,0.0,0.0,3.5,2.2
Other personal services,Other services,Netherlands The,North Holland,Service, 10-49,2018,2.0,80.8,23.4,7.7,10.1,15.0,21.4,2.1,0.0,0.0,0.0,0.8,2.9
Food products,Manufactured Goods,United States,Vermont,Manufacturing, 50-249,2024,1.0,104.7,15.0,12.0,34.7,15.2,26.0,1.6,0.0,0.0,0.0,0.0,6.7
Food products,Manufactured Goods,United States,Vermont,Manufacturing, 50-249,2020,2.0,101.9,17.8,15.4,28.7,13.2,24.9,1.7,0.0,0.0,0.0,0.0,4.8
Food products,Manufactured Goods,United States,Vermont,Manufacturing, 250-999,2017,3.0,104.1,17.2,16.7,31.7,15.0,22.4,0.2,0.0,0.0,0.0,0.6,2.9
Food products,Manufactured Goods,United States,Vermont,Manufacturing, 250-999,2015,4.0,93.3,16.0,13.0,34.3,6.7,22.4,0.3,0.0,0.0,0.0,0.6,2.9
Food products,Manufactured Goods,United States,Vermont,Manufacturing, 250+,2013,5.0,99.5,12.1,14.9,31.6,12.1,23.1,0.6,0.0,5.1,0.0,0.0,2.9
Legal activities,Professional & technical services,United Kingdom,City of Westminster,Service, 1-9,2021,1.0,94.3,20.6,8.4,10.2,19.5,32.7,0.0,0.0,0.0,0.0,2.6,1.9
Personal care products,Manufactured Goods,Canada,Alberta,Manufacturing, 1-9,2023,1.0,81.2,19.7,5.0,13.6,13.5,24.3,3.3,0.0,0.6,0.0,0.8,2.7
Real estate development,"Real estate, design & building",Brazil,Goiás,Service with Significant Environmental Footprint, 50-249,2023,1.0,93.3,20.1,4.4,12.0,16.8,17.8,2.8,0.0,13.7,0.0,5.4,3.5
Investment advising,Financial & insurance activities,United States,California,Service, 10-49,2024,1.0,173.1,36.3,64.4,6.2,21.1,40.7,0.0,0.0,4.3,0.0,0.0,1.6
Investment advising,Financial & insurance activities,United States,California,Service, 1-9,2021,2.0,169.4,38.4,64.4,7.5,20.5,32.9,0.0,0.0,5.5,0.0,0.0,2.7
Investment advising,Financial & insurance activities,United States,California,Service, 1-9,2017,3.0,153.9,54.3,52.1,15.1,8.6,23.1,0.0,0.0,0.0,0.0,0.7,2.9
Scientific R&D,Professional & technical services,United Kingdom,Rotherham,Service with Significant Environmental Footprint, 10-49,2022,1.0,80.7,9.7,0.6,20.7,8.5,28.6,1.9,0.0,8.0,0.0,2.4,1.4
Management consultant - for-profits,Professional & technical services,France,Paris,Service, 1-9,2023,1.0,88.2,20.0,5.1,9.0,20.6,27.6,3.1,0.0,0.0,0.0,2.4,3.2
Management consultant - for-profits,Professional & technical services,France,Paris,Service, 1-9,2019,2.0,83.5,18.5,6.5,5.5,20.4,23.9,2.5,0.0,0.0,0.0,5.9,1.1
Management consultant - for-profits,Professional & technical services,Netherlands The,Limburg,Service, 10-49,2023,1.0,95.6,18.2,3.2,13.7,18.7,36.7,2.6,0.0,1.0,0.0,1.2,4.7
Software publishing and SaaS platforms,"Information, communication & technology",Canada,British Columbia,Service, 1-9,2023,1.0,120.4,18.9,38.3,1.9,21.0,33.3,2.8,0.0,1.7,0.0,2.1,0.2
Software publishing and SaaS platforms,"Information, communication & technology",Canada,British Columbia,Service, 1-9,2019,2.0,109.3,21.7,36.7,4.6,19.9,21.5,3.2,0.0,0.0,0.0,1.5,1.1
Pre- & primary education,Education,United States,California,Service, 0,2025,1.0,94.6,32.3,32.9,3.0,19.7,23.9,3.8,0.0,2.6,0.0,1.7,0.0
Technology-based support services,Human health & social work,United States,Tennessee,Service with Significant Environmental Footprint, 10-49,2024,1.0,89.5,20.3,28.5,2.9,14.2,20.6,0.0,0.0,2.8,0.0,0.0,0.6
Technology-based support services,Human health & social work,United States,Tennessee,Service with Significant Environmental Footprint, 1-9,2019,2.0,96.3,24.5,28.7,3.2,15.4,20.5,0.0,0.0,1.5,0.0,2.3,1.0
Spec design (non-building),Professional & technical services,United Kingdom,Shropshire,Service, 1-9,2023,1.0,90.5,19.5,3.3,10.8,20.5,30.0,3.5,0.0,0.0,0.0,2.6,2.0
Beverages,Manufactured Goods,United Kingdom,Gloucestershire,Manufacturing, 1-9,2024,1.0,81.3,14.0,2.4,18.9,16.5,25.2,2.8,0.0,0.3,0.0,0.9,3.4
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,Devon,Service, 1-9,2022,1.0,80.1,14.8,3.6,6.0,19.9,31.6,2.3,0.0,0.0,0.0,1.6,2.3
Other info service activities,"Information, communication & technology",Canada,Quebec,Service, 1-9,2023,1.0,87.9,15.2,4.4,12.4,16.5,37.2,2.0,0.0,0.0,0.0,0.0,2.7
Food products,Retail,Canada,British Columbia,Wholesale/Retail, 1-9,2023,1.0,121.9,32.6,2.7,25.2,13.3,37.1,3.8,0.0,2.5,0.0,4.2,3.7
Transportation support,Transportation & storage,Chile,Valparaíso,Service with Significant Environmental Footprint, 1-9,2022,1.0,94.3,16.8,2.1,34.0,13.2,20.5,3.3,0.0,1.5,0.0,2.6,1.4
Transportation support,Transportation & storage,Chile,Valparaíso,Wholesale/Retail, 1-9,2018,2.0,88.5,14.8,4.5,34.1,11.5,20.7,0.6,0.0,5.4,0.0,1.1,2.9
Personal care products,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 1-9,2024,1.0,94.7,14.4,3.3,37.3,16.0,14.9,2.7,0.0,0.0,0.0,5.9,5.0
Personal care products,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 1-9,2020,2.0,100.5,17.4,3.3,38.3,16.0,15.7,3.3,0.0,0.0,0.0,6.2,6.0
Apparel,Wholesale,New Zealand,Auckland Region,Wholesale/Retail, 10-49,2022,1.0,89.5,14.2,4.3,28.4,14.3,23.2,2.6,0.0,0.4,0.0,1.7,1.8
Accommodation,Accommodation & food service,Ecuador,Galápagos Province,Service with Significant Environmental Footprint, 1-9,2023,1.0,105.4,47.1,4.3,16.4,14.6,13.1,4.3,0.0,0.6,0.0,4.6,4.0
Engineering,Professional & technical services,United Kingdom,Surrey,Service, 10-49,2024,1.0,86.4,18.6,3.2,19.6,14.5,29.3,0.0,0.0,0.0,0.0,0.9,2.9
Engineering,Professional & technical services,United Kingdom,Surrey,Service, 1-9,2020,2.0,98.7,17.6,3.2,22.4,18.5,31.5,1.1,0.0,0.0,0.0,4.0,4.0
Apparel,Retail,Japan,Tokyo,Wholesale/Retail, 10-49,2023,1.0,83.4,16.4,2.4,25.9,9.1,22.8,2.9,0.0,0.0,0.0,3.6,2.7
Textiles,Retail,United Kingdom,East Lothian,Wholesale/Retail, 1-9,2022,1.0,83.2,19.5,4.1,14.0,17.6,22.0,3.1,0.0,0.4,0.0,2.1,2.8
Accommodation,Accommodation & food service,Chile,Coquimbo Region,Service with Significant Environmental Footprint, 50-249,2024,1.0,82.6,15.0,2.2,17.5,16.2,21.4,2.2,0.0,2.9,0.0,4.8,6.8
Accommodation,Accommodation & food service,Chile,Coquimbo Region,Service with Significant Environmental Footprint, 10-49,2020,2.0,83.2,15.2,2.7,18.7,16.2,19.4,2.9,0.0,1.9,0.0,6.0,7.0
Employment placement & HR,Administrative & support services,United States,Washington,Service, 1-9,2019,1.0,82.0,9.5,17.2,7.8,16.8,27.9,1.7,0.0,0.6,0.0,0.0,1.1
Environmental consulting,Administrative & support services,United States,Washington,Service, 1-9,2015,2.0,83.4,23.9,10.6,4.8,21.6,21.5,0.9,0.0,0.0,0.0,0.0,2.9
Environmental consulting,Administrative & support services,United States,Washington,Service, 1-9,2012,3.0,89.8,21.1,30.0,4.3,11.5,19.0,1.4,0.0,0.0,0.7,1.4,2.9
Personal care products,Manufactured Goods,Italy,Emilia-Romagna,Manufacturing, 1000+,2023,1.0,123.5,23.1,5.2,51.7,19.0,24.3,0.5,0.0,0.3,0.0,4.2,2.9
Personal care products,Manufactured Goods,Italy,Emilia-Romagna,Manufacturing, 1000+,2020,2.0,117.4,22.0,4.3,50.7,17.3,23.0,0.4,0.0,1.0,0.0,4.2,2.9
Personal care products,Manufactured Goods,Italy,Emilia-Romagna,Manufacturing, 1000+,2016,3.0,99.3,23.5,2.6,41.3,9.0,22.7,0.0,0.0,0.0,0.0,1.0,2.9
Real estate development,"Real estate, design & building",Peru,Lima,Service with Significant Environmental Footprint, 50-249,2023,1.0,82.7,14.3,3.3,25.2,15.4,24.4,2.7,0.0,9.3,0.0,4.7,2.9
Management consultant - for-profits,Professional & technical services,Colombia,Cundinamarca Department,Service, 10-49,2023,1.0,107.2,14.2,3.5,34.6,20.9,26.5,2.1,0.0,0.5,0.0,4.6,6.0
Machinery & equipment,Manufactured Goods,Brazil,Paraná,Manufacturing, 50-249,2023,1.0,89.6,26.1,2.4,17.3,17.4,19.8,0.0,0.0,1.7,0.0,4.5,4.7
Other manufacturing,Manufactured Goods,Indonesia,West Java,Manufacturing, 10-49,2022,1.0,81.5,27.6,4.6,16.6,7.6,18.0,3.5,0.0,0.5,0.0,2.8,6.8
Advertising & market research,Professional & technical services,United States,Illinois,Service, 10-49,2023,1.0,83.9,15.8,3.7,8.6,16.0,34.0,2.3,0.0,0.0,0.0,3.3,1.0
Advertising & market research,Professional & technical services,United States,Illinois,Service, 10-49,2020,2.0,82.2,14.7,3.7,9.5,15.8,32.3,2.0,0.0,0.7,0.0,3.1,2.6
Books or other media,Retail,United Kingdom,City of Westminster,Wholesale/Retail, 10-49,2022,1.0,102.3,18.0,9.5,25.2,15.1,25.6,3.0,0.0,3.6,0.0,1.8,4.7
Design & building,"Real estate, design & building",Australia,New South Wales,Service with Significant Environmental Footprint, 10-49,2022,1.0,111.9,18.2,2.7,42.0,16.4,27.5,2.9,0.0,1.9,0.0,0.0,5.5
Design & building,"Real estate, design & building",Australia,New South Wales,Service with Significant Environmental Footprint, 1-9,2019,2.0,82.0,14.8,2.6,30.0,11.4,13.1,2.4,0.0,3.8,0.0,3.3,4.0
Management consultant - nonprofits,Professional & technical services,Portugal,Lisbon,Service, 10-49,2023,1.0,126.6,20.7,42.6,3.0,20.6,33.1,2.6,0.0,2.6,0.0,1.0,0.0
Management consultant - nonprofits,Professional & technical services,Portugal,Lisbon,Service, 10-49,2019,2.0,99.8,20.3,29.0,3.0,11.5,28.8,0.0,0.0,2.6,0.0,4.2,0.0
Management consultant - nonprofits,Professional & technical services,Portugal,Lisbon,Service, 0,2016,3.0,108.3,38.4,51.9,2.0,14.2,23.9,1.6,0.0,0.2,0.0,1.7,2.9
Apparel,Manufactured Goods,United Kingdom,Scotland,Manufacturing, 50-249,2021,1.0,81.4,17.4,3.4,14.9,15.1,28.1,0.0,0.0,1.2,0.0,0.9,5.2
Apparel,Retail,France,Paris,Wholesale/Retail, 0,2022,1.0,112.6,69.8,2.2,17.6,17.5,23.9,5.3,0.0,0.0,0.0,1.7,0.8
Food products,Manufactured Goods,Slovenia,Ajdovščina Municipality,Manufacturing, 10-49,2022,1.0,80.2,19.3,3.2,17.8,8.5,23.2,3.1,0.0,1.4,0.0,3.4,6.4
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 1-9,2021,1.0,80.1,18.7,17.1,1.6,19.3,19.7,2.4,0.0,1.0,0.0,0.0,0.0
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 1-9,2017,2.0,96.0,11.3,42.1,3.9,19.3,16.2,1.0,0.0,1.9,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Service, 1-9,2015,3.0,109.4,21.4,41.7,4.5,16.2,23.5,0.9,0.0,0.8,0.4,0.0,2.9
Membership organizations,Other services,United Kingdom,Gloucestershire,Service with Significant Environmental Footprint, 1-9,2023,1.0,82.5,19.4,2.2,14.1,14.0,21.2,3.4,0.0,7.0,0.0,0.7,2.5
Beverages,Manufactured Goods,United States,Iowa,Manufacturing, 10-49,2023,1.0,99.1,56.4,2.4,5.7,15.2,17.8,1.4,0.0,0.0,0.0,0.0,0.8
Agricultural Processing,"Agriculture, forestry & fishing",United States,Iowa,Agriculture/Growers, 1-9,2019,2.0,80.5,31.7,3.6,11.8,14.8,10.8,3.2,0.0,3.8,0.0,0.3,0.2
General retail via Internet,Retail,Canada,Nova Scotia,Wholesale/Retail, 10-49,2023,1.0,81.9,22.3,6.8,10.9,13.8,24.6,0.0,0.0,2.3,0.0,0.8,3.3
General retail via Internet,Retail,Canada,Nova Scotia,Wholesale/Retail, 1-9,2019,2.0,92.5,30.4,2.6,16.9,14.3,20.5,2.8,0.0,3.9,0.0,0.7,5.2
Beverages,Manufactured Goods,United States,California,Manufacturing, 250-999,2024,1.0,114.6,17.7,4.1,53.8,15.7,22.4,0.0,0.0,0.4,0.0,0.2,7.0
Beverages,Manufactured Goods,United States,California,Manufacturing, 250-999,2021,2.0,98.3,13.7,4.0,44.9,14.3,20.5,0.0,0.0,0.3,0.0,0.2,3.6
Management consultant - for-profits,Professional & technical services,United States,Washington,Service, 0,2024,1.0,102.0,29.2,36.8,8.7,17.2,23.9,4.0,0.0,5.8,0.0,1.7,4.9
Management consultant - for-profits,Professional & technical services,United States,Washington,Service, 0,2021,2.0,99.2,26.7,36.2,8.6,18.1,23.9,3.6,0.0,5.7,0.0,1.7,4.0
Management consultant - for-profits,Professional & technical services,Hong Kong S.A.R.,Central and Western District,Service, 1-9,2020,1.0,140.6,39.8,27.6,5.7,19.1,30.2,3.6,0.8,1.0,0.0,12.3,1.3
Management consultant - for-profits,Professional & technical services,Hong Kong S.A.R.,Central and Western District,Service, 0,2017,2.0,138.0,90.6,23.9,10.0,8.2,23.9,4.2,0.0,1.1,0.0,1.7,2.9
Computer programming services,"Information, communication & technology",Brazil,São Paulo,Service, 1-9,2023,1.0,83.4,19.2,10.2,4.2,17.0,25.7,2.8,0.0,2.8,0.0,1.2,0.0
Computer programming services,"Information, communication & technology",Brazil,São Paulo,Service, 1-9,2019,2.0,102.7,19.8,25.2,1.6,16.2,27.8,2.3,0.0,1.0,0.0,8.5,0.0
Apparel,Retail,United Kingdom,London Borough of Hammersmith and Fulham,Wholesale/Retail, 10-49,2024,1.0,103.6,19.7,4.1,30.4,16.4,27.0,3.2,0.0,0.0,0.0,2.5,4.9
Solar panel installation,Energy,United States,Arizona,Service with Significant Environmental Footprint, 50-249,2023,1.0,138.6,12.3,2.4,43.3,14.1,63.1,1.9,0.6,0.3,0.0,0.3,6.0
Solar panel installation,Energy,United States,Arizona,Wholesale/Retail, 10-49,2018,2.0,135.1,24.1,4.5,47.3,9.5,53.2,0.0,0.0,0.0,0.0,0.8,2.9
Solar panel installation,Energy,United States,Arizona,Wholesale/Retail, 10-49,2016,3.0,108.4,23.3,0.0,50.7,11.8,22.6,0.0,0.0,0.0,0.0,0.0,2.9
Solar panel installation,Energy,United States,Arizona,Service, 10-49,2014,4.0,92.9,21.5,0.0,40.5,6.6,24.3,0.0,0.0,0.0,0.0,0.0,2.9
Other personal services,Other services,Australia,New South Wales,Service, 10-49,2019,1.0,82.7,33.4,0.8,7.3,8.5,24.3,2.3,0.0,0.5,0.0,5.3,0.6
Agricultural Processing,"Agriculture, forestry & fishing",United States,California,Agriculture/Growers, 1-9,2023,1.0,90.1,18.0,2.9,31.7,16.5,10.6,2.0,0.0,7.4,0.0,0.6,0.9
Growing perennial crops,"Agriculture, forestry & fishing",United States,California,Agriculture/Growers, 1-9,2019,2.0,97.5,28.9,3.5,34.7,15.7,6.9,2.8,0.0,2.5,0.0,2.1,0.9
Event catering & related,Accommodation & food service,United Kingdom,Oxfordshire,Service with Significant Environmental Footprint, 50-249,2023,1.0,93.4,32.9,3.4,16.1,15.7,20.5,1.7,0.0,0.6,0.0,2.1,4.2
Arts & entertainment,"Arts, entertainment & recreation",United Kingdom,City of Westminster,Service with Significant Environmental Footprint, 1-9,2021,1.0,98.6,36.1,8.0,4.3,13.2,23.0,3.4,0.0,8.1,0.0,2.2,0.0
Investment advising,Financial & insurance activities,United Kingdom,London Borough of Islington,Service, 50-249,2022,1.0,90.5,13.2,22.2,7.4,8.9,31.5,0.0,0.7,0.0,0.0,6.1,0.9
Web portals,"Information, communication & technology",United Arab Emirates,Dubai,Service, 1-9,2023,1.0,86.7,16.7,3.0,19.0,10.0,23.3,2.3,0.0,3.3,0.0,8.9,0.0
Management consultant - nonprofits,Professional & technical services,United States,Maine,Service, 1-9,2024,1.0,128.9,36.0,27.7,4.4,19.3,30.6,3.3,0.0,4.0,0.0,3.1,0.1
Management consultant - nonprofits,Professional & technical services,United States,Maine,Service, 0,2018,2.0,93.8,58.5,15.1,13.5,6.6,23.9,0.0,0.0,0.0,0.0,1.7,2.9
Management consultant - for-profits,Professional & technical services,United Kingdom,Surrey,Service, 1-9,2021,1.0,107.6,26.9,15.9,13.1,20.7,25.5,0.0,0.0,0.0,0.0,5.2,5.0
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Brabant,Service, 50-249,2022,1.0,81.2,21.5,2.6,4.3,17.2,30.6,2.1,0.0,0.0,0.0,2.5,1.1
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Brabant,Service, 50-249,2019,2.0,80.7,19.9,3.3,4.5,14.7,29.2,2.7,0.0,0.0,0.0,6.1,1.1
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Brabant,Service, 10-49,2016,3.0,81.5,24.6,1.3,5.9,13.7,34.2,1.0,0.0,0.0,0.0,0.8,2.9
Textiles,Retail,Indonesia,Jakarta,Wholesale/Retail, 10-49,2024,1.0,110.6,47.0,3.6,28.0,6.4,17.1,4.2,0.0,0.2,0.0,3.8,3.7
Textiles,Retail,Indonesia,Jakarta,Wholesale/Retail, 1-9,2019,2.0,95.3,47.8,4.3,14.6,7.1,11.5,3.9,0.0,0.3,0.0,5.4,0.9
Software publishing and SaaS platforms,"Information, communication & technology",Italy,Lazio,Service, 10-49,2023,1.0,91.6,20.5,6.6,7.1,20.1,25.9,2.9,0.0,0.0,0.0,8.1,2.2
Software publishing and SaaS platforms,"Information, communication & technology",Italy,Lazio,Service, 10-49,2019,2.0,81.9,22.9,7.3,7.2,9.1,24.5,2.9,0.0,0.0,0.0,7.6,1.1
Other retail sale,Retail,United States,Connecticut,Wholesale/Retail, 10-49,2024,1.0,90.4,14.2,2.1,40.7,12.9,16.3,2.6,0.0,1.3,0.0,0.0,3.0
Waste collection,Waste Management & Recycling,United States,Connecticut,Manufacturing, 1-9,2021,2.0,95.1,15.0,3.0,43.1,13.7,13.8,2.7,0.0,2.9,0.0,0.6,3.9
Apparel,Wholesale,Sweden,Västra Götaland,Wholesale/Retail, 10-49,2021,1.0,93.9,15.7,5.0,31.5,10.1,23.7,2.9,0.0,0.0,0.0,4.8,7.4
Food products,Manufactured Goods,Argentina,Buenos Aires Province,Manufacturing, 250-999,2022,1.0,91.1,17.0,3.8,24.7,16.8,19.6,2.0,0.0,1.8,0.0,4.9,8.4
Food products,Manufactured Goods,Argentina,Buenos Aires Province,Manufacturing, 250-999,2018,2.0,84.2,47.2,0.0,6.3,8.5,20.4,0.0,0.0,1.0,0.0,0.6,2.9
Real estate - leased property,"Real estate, design & building",United Kingdom,West Sussex,Service, 10-49,2023,1.0,95.1,18.4,2.2,17.7,21.4,30.8,0.0,0.0,0.9,0.0,3.4,5.0
Other personal services,Other services,Namibia,Khomas Region,Service with Significant Environmental Footprint, 10-49,2023,1.0,115.6,24.3,2.2,7.5,7.4,58.8,4.0,0.0,8.7,0.0,2.5,2.1
Other personal services,Other services,Thailand,Bangkok,Service, 250-999,2021,1.0,80.8,17.6,4.0,9.7,19.8,25.0,1.6,0.0,0.6,0.0,2.2,3.1
Apparel,Manufactured Goods,Belgium,Brussels-Capital Region,Manufacturing, 10-49,2022,1.0,89.4,17.4,4.0,28.2,14.6,20.9,0.0,0.0,1.1,0.0,2.9,2.2
Other/general wholesale trade,Wholesale,United States,Colorado,Wholesale/Retail, 50-249,2022,1.0,80.9,15.7,2.4,26.6,14.7,18.1,1.5,0.0,0.0,0.0,1.5,7.1
Other/general wholesale trade,Wholesale,United States,Colorado,Wholesale/Retail, 50-249,2018,2.0,82.6,17.3,0.0,28.8,17.8,16.9,0.0,0.0,0.0,0.0,1.5,2.9
Other/general wholesale trade,Wholesale,United States,Colorado,Wholesale/Retail, 10-49,2016,3.0,81.4,19.4,0.0,30.5,11.1,19.8,0.0,0.0,0.0,0.0,0.6,2.9
"Other professional, scientific & tech",Professional & technical services,United Kingdom,England,Service, 10-49,2022,1.0,84.6,15.0,2.8,13.7,17.9,27.3,2.8,0.0,0.0,0.0,4.8,5.0
Food products,Manufactured Goods,Belgium,Brussels-Capital Region,Manufacturing, 10-49,2022,1.0,84.4,18.0,1.6,23.3,15.1,22.5,3.3,0.0,0.2,0.0,0.0,3.8
Scientific R&D,Professional & technical services,United Kingdom,Cumbria,Service, 1-9,2022,1.0,109.2,19.8,24.6,7.3,20.1,30.1,3.8,0.0,0.6,0.0,2.5,1.1
"Film, TV & music production","Arts, entertainment & recreation",United States,California,Service, 1-9,2020,1.0,136.5,30.9,28.3,4.5,19.7,43.3,0.0,0.0,4.1,0.0,5.5,0.0
Membership organizations,Other services,United States,New York,Service, 10-49,2023,1.0,112.4,16.5,36.4,7.3,17.1,29.1,2.7,0.0,0.0,0.0,3.0,1.2
Membership organizations,Other services,United States,New York,Service, 10-49,2019,2.0,109.2,13.5,37.5,7.3,16.6,28.8,2.2,0.0,0.0,0.0,2.9,1.2
Membership organizations,Other services,United States,New York,Service, 1-9,2016,3.0,106.4,24.8,35.2,4.2,15.2,24.3,0.9,0.0,0.3,0.0,1.5,2.9
Membership organizations,Other services,United States,New York,Service, 0,2014,4.0,97.0,30.6,54.5,4.1,6.8,0.0,0.0,0.0,0.9,0.0,0.0,2.9
Food products,Retail,Netherlands The,North Holland,Wholesale/Retail, 1000+,2023,1.0,97.9,23.7,4.6,24.5,13.4,28.2,0.0,0.0,0.9,0.0,2.4,9.5
Software publishing and SaaS platforms,"Information, communication & technology",Jersey,St Helier,Service, 1-9,2023,1.0,86.9,18.6,3.9,9.3,16.4,27.6,2.9,0.0,1.7,0.0,6.3,1.9
Accounting & auditing,Professional & technical services,Canada,Ontario,Service, 0,2023,1.0,121.2,50.2,30.1,10.3,17.8,23.9,5.7,0.0,6.9,0.0,1.7,5.2
Accounting & auditing,Professional & technical services,Canada,Ontario,Service, 0,2019,2.0,84.9,43.1,20.7,8.7,7.0,23.9,1.8,0.0,3.4,0.0,1.7,5.2
